candidate,twitter_handle,date,text,stripped_text,retweets,favorites,geo,mentions,hashtags,media
Christopher Countryman,CA_Countryman,2018-11-05 13:55,https://www.facebook.com/545476542281268/posts/1080593305436253/ â¦, ,0,0,,[],[],['https://www.facebook.com/545476542281268/posts/1080593305436253/']
Christopher Countryman,CA_Countryman,2018-11-05 13:54,https://www.facebook.com/1753652668215749/posts/2162923253955353/ â¦, ,0,0,,[],[],['https://www.facebook.com/1753652668215749/posts/2162923253955353/']
Christopher Countryman,CA_Countryman,2018-11-05 13:53,With corruption being one of the biggest concerns that Alabama citizens have as they head to the polls tomorrow morning let's look at the facts: 1. Gubernatorial Candidate Walt...https://www.al.com/election/2018/10/corruption-ethics-top-list-of-voters-concerns-in-alabama.html â¦,With corruption being one of the biggest concerns that Alabama citizens have as they head to the polls tomorrow morning let's look at the facts: 1. Gubernatorial Candidate Walt... ,1,1,,[],[],['https://www.al.com/election/2018/10/corruption-ethics-top-list-of-voters-concerns-in-alabama.html']
Christopher Countryman,CA_Countryman,2018-11-05 13:50,With corruption being one of the biggest concerns that Alabama citizens have as they head to the polls tomorrow morning let's look at the facts: 1. Gubernatorial Candidate Walt Maddox has deep ties to both... https://www.facebook.com/329505890581395/posts/909408709257774/ â¦,With corruption being one of the biggest concerns that Alabama citizens have as they head to the polls tomorrow morning let's look at the facts: 1. Gubernatorial Candidate Walt Maddox has deep ties to both...  ,0,1,,[],[],['https://www.facebook.com/329505890581395/posts/909408709257774/']
Christopher Countryman,CA_Countryman,2018-11-05 10:49,"Here is an important notice concerning Christopher A Countryman regarding his Facebook account: The post shared is from his new Facebook account, with an explanation as to why he's had to create a new account... https://www.facebook.com/329505890581395/posts/909336615931650/ â¦""","Here is an important notice concerning Christopher A Countryman regarding his Facebook account: The post shared is from his new Facebook account, with an explanation as to why he's had to create a new account...  """,0,0,,[],[],['https://www.facebook.com/329505890581395/posts/909336615931650/']
Christopher Countryman,CA_Countryman,2018-11-04 07:19,"I believe that we need to find real solutions to the problems our state faces. We must take responsibility for the challenge we now face, and get this state back on trac. That is what I set out to do, that is... https://www.facebook.com/329505890581395/posts/908702752661703/ â¦""","I believe that we need to find real solutions to the problems our state faces. We must take responsibility for the challenge we now face, and get this state back on trac. That is what I set out to do, that is...  """,0,0,,[],[],['https://www.facebook.com/329505890581395/posts/908702752661703/']
Christopher Countryman,CA_Countryman,2018-11-03 19:35,https://www.facebook.com/545476542281268/posts/1079311898897727/ â¦, ,0,0,,[],[],['https://www.facebook.com/545476542281268/posts/1079311898897727/']
Christopher Countryman,CA_Countryman,2018-11-03 19:34,https://www.facebook.com/1753652668215749/posts/2161823774065301/ â¦, ,0,0,,[],[],['https://www.facebook.com/1753652668215749/posts/2161823774065301/']
Christopher Countryman,CA_Countryman,2018-11-03 19:34,https://www.facebook.com/329505890581395/posts/908444539354191/ â¦, ,0,0,,[],[],['https://www.facebook.com/329505890581395/posts/908444539354191/']
Christopher Countryman,CA_Countryman,2018-11-02 16:15,"It's time to turn the page on Alabama's past, and to write a new page in the archives of history. ...check out the short video for more... https://www.facebook.com/1753652668215749/posts/2161180520796293/ â¦","It's time to turn the page on Alabama's past, and to write a new page in the archives of history. ...check out the short video for more...  ",0,0,,[],[],['https://www.facebook.com/1753652668215749/posts/2161180520796293/']
