candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Anthony White (Alabama),,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Countryman,CA_Countryman,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,141.0,139.0,334.0,2.6286644951140063,17,17,0,6,9,13,8,0,10,1,15,614
"Doug ""New Blue"" Smith",sdoug_smith,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,2.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,5
James C. Fields,jamesfields_al,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,8.0,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,,7.0,12.0,64.0,3.3734939759036147,0,2,0,0,1,1,1,0,0,0,0,83
Sue Bell Cobb,SueBellCobb,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,,42.0,56.0,294.0,3.2857142857142856,0,16,0,0,19,12,3,1,0,2,0,392
Walt Maddox,WaltMaddox,,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879998999999998,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,122.0,150.0,984.0,3.3726114649681533,7,48,3,1,42,18,2,0,0,5,1,1256
Lizzetta Hill McConnell,LizzettaMcConn1,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,12.0,12.0,92.0,3.3793103448275863,1,5,0,0,0,0,0,0,0,0,0,116
Robert Kennedy Jr.,Kennedy4Alabama,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,76.0,53.0,245.0,2.903743315508021,2,9,0,4,5,6,2,2,1,3,6,374
Audri Scott Williams,audri4alabama,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,18.0,17.0,102.0,3.2262773722627736,3,1,1,4,0,7,1,0,0,0,4,137
Tabitha Isner,TabithaK,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,396.0,354.0,1083.0,2.749590834697217,71,94,14,18,35,39,7,5,0,8,26,1833
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,49.0,43.0,263.0,3.2056338028169016,8,8,0,0,11,3,1,1,0,3,1,355
Mallory Hagan,ItsMalloryHagan,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,418.0,367.0,1223.0,2.8017928286852594,18,5,6,1,13,4,1,6,2,0,18,2008
Lee Auman,LeeAuman2018,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,42.0,36.0,177.0,3.0588235294117645,3,1,0,4,0,4,0,0,0,0,5,255
Rick Neighbors,VoteRick2018 ,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,4.0,12.0,72.0,3.5454545454545454,4,5,0,1,6,4,0,0,0,0,0,88
Peter Joffrion,peter_joffrion,,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,130.0,120.0,714.0,3.211618257261411,0,0,0,0,0,0,0,0,0,0,0,0
Danner Kline,VoteDannerKline,,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459998999999996,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Jared Henderson,JaredforGov,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,20.0,18.0,266.0,3.6184210526315783,0,6,0,0,18,2,1,0,0,2,0,304
Leticia Sanders,LeticiaeSanders,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2
Chintan Desai,DecideonDesai,,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,164.0,115.0,633.0,3.0285087719298245,0,0,0,0,0,0,0,0,0,0,0,0
Clarke Tucker,clarketucker,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,63.0,76.0,476.0,3.3430894308943087,5,35,0,6,19,18,4,1,0,5,3,615
Gwen Combs,GwenCombs,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,110.0,124.0,387.0,2.8921095008051534,40,42,7,7,30,14,8,5,2,4,17,621
Jonathan Dunkley,votedunkleyar,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.340000199999999,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,5.0,4.0,50.0,3.5254237288135597,3,4,0,0,4,3,0,0,0,0,0,59
Paul Spencer,cantbuypaul,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,121.0,91.0,176.0,2.283505154639175,15,30,0,0,7,13,2,0,1,0,4,388
Joshua Mahony,joshuamahony,,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,125.0,98.0,494.0,3.0292887029288704,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Shamel,HaydenShamel,,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,29.0,23.0,109.0,2.9937888198757765,0,0,0,0,0,0,0,0,0,0,0,0
