candidate,twitter_handle,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Anthony White (Alabama),,0,0,0,0,8,1,2,0,-28.879998999999998,3.4200001,0,0,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Christopher Countryman,CA_Countryman,0,0,0,0,8,1,2,0,-28.879998999999998,1.74,0,1,0,1,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
"Doug ""New Blue"" Smith",sdoug_smith,0,0,0,0,8,1,2,0,-28.879998999999998,3.27,0,1,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
James C. Fields,jamesfields_al,0,0,0,0,8,1,2,0,-28.879998999999998,8.0,0,0,1,0,1,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Sue Bell Cobb,SueBellCobb,0,0,0,0,8,1,2,0,-28.879998999999998,28.98,0,1,0,0,1,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Walt Maddox,WaltMaddox,0,0,0,0,8,0,2,1,-28.879998999999998,54.599998,1,1,0,0,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Lizzetta Hill McConnell,LizzettaMcConn1,0,21,1,0,8,1,2,0,-30.68,19.23,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Robert Kennedy Jr.,Kennedy4Alabama,0,21,1,0,8,0,2,1,-30.68,80.769997,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Audri Scott Williams,audri4alabama,0,22,1,0,8,1,2,0,-33.080002,39.560001,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Tabitha Isner,TabithaK,0,22,1,0,8,0,2,1,-33.080002,60.439999,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Adia McClellan Winfrey,ElectDrDia,0,23,1,0,8,1,2,0,-33.66,34.240002000000004,0,0,0,0,0,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Mallory Hagan,ItsMalloryHagan,0,23,1,0,8,0,2,1,-33.66,65.739998,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Lee Auman,LeeAuman2018,0,24,1,0,8,0,2,1,-62.48,54.130001,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Rick Neighbors,VoteRick2018 ,0,24,1,0,8,1,2,0,-62.48,45.869999,0,1,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Peter Joffrion,peter_joffrion,0,25,1,0,8,0,2,1,-34.830002,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,,
Danner Kline,VoteDannerKline,0,26,1,0,8,0,2,1,-48.459998999999996,100.0,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Jared Henderson,JaredforGov,1,1,0,0,4,0,2,1,-28.639999,63.299999,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Leticia Sanders,LeticiaeSanders,1,1,0,0,4,1,2,0,-28.639999,36.700001,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Chintan Desai,DecideonDesai,1,28,1,0,4,0,2,1,-34.810001,100.0,1,0,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,1,2,2,2,,
Clarke Tucker,clarketucker,1,29,1,0,4,0,2,1,-13.51,57.82,1,1,0,0,1,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,2,,
Gwen Combs,GwenCombs,1,29,1,0,4,1,2,0,-13.51,20.299999,0,1,1,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,,
Jonathan Dunkley,votedunkleyar,1,29,1,0,4,1,2,0,-13.51,9.340000199999999,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,,
Paul Spencer,cantbuypaul,1,29,1,0,4,1,2,0,-13.51,12.55,0,1,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,,
Joshua Mahony,joshuamahony,1,30,1,0,4,0,2,1,-34.560001,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,,
Hayden Shamel,HaydenShamel,1,31,1,0,4,0,2,1,-33.68,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Brianna Westbrook,BWestbrookAZ8,2,27,1,1,0,1,2,0,-24.559998999999998,39.720001,0,1,0,1,0,0,0,0,2,2,2,2,2,2,1,1,2,2,2,2,2,,
Hiral Tipirneni,hiral4congress,2,27,1,1,0,0,2,1,-24.559998999999998,60.220001,1,0,0,0,0,0,1,0,2,2,2,2,2,2,0,0,2,2,2,2,2,,
Akinyemi Agbede,NextCalSenator,3,2,0,0,8,1,2,0,25.83,0.22,0,0,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Albert Caesar Mezzetti,,3,2,0,0,8,1,2,0,25.83,0.28,0,1,1,0,1,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Amanda Renteria,AmandaRenteria,3,2,0,0,8,1,2,0,25.83,2.1500001,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Antonio Villaraigosa,antonio4ca,3,2,0,0,8,1,2,0,25.83,21.290001,0,0,0,0,1,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Delaine Eastin,DelaineEastin,3,2,0,0,8,1,2,0,25.83,5.4000001,0,1,0,0,1,0,0,0,2,2,1,2,2,2,1,2,2,2,2,2,2,,
Gavin Newsom,GavinNewsom,3,2,0,0,8,0,2,1,25.83,53.869999,1,1,0,0,1,0,0,0,2,2,1,2,2,2,0,2,2,2,2,2,2,,
John Chiang,JohnChiangCA,3,2,0,0,8,1,2,0,25.83,15.08,0,0,0,0,1,0,1,0,2,2,1,2,2,2,0,2,2,2,2,2,2,,
Juan Bribiesca,jmbribiesca,3,2,0,0,8,1,2,0,25.83,0.40000001,0,0,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Klement Tinaj,TinajKlement,3,2,0,0,8,1,2,0,25.83,0.12,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Michael Shellenberger,ShellenbergerMD,3,2,0,0,8,1,2,0,25.83,0.73000002,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Robert Davidson Griffis,griff4gov,3,2,0,0,8,1,2,0,25.83,0.25999999,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Thomas Jefferson Cares,,3,2,0,0,8,1,2,0,25.83,0.20999999,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,2,2,,
Audrey Denney,audrey4congress,3,32,1,0,8,0,2,1,-21.379998999999998,43.650002,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,1,2,0,2,2,2,,
David Peterson,HoldCongresAcct,3,32,1,0,8,1,2,0,-21.379998999999998,7.3000002,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,,
Jessica Holcombe,jjonesholcombe,3,32,1,0,8,1,2,0,-21.379998999999998,28.540001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,,
Marty Walters,MartyWaltersEnv,3,32,1,0,8,1,2,0,-21.379998999999998,20.51,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,1,2,2,2,,
Dotty Nygard,DottyForTracy,3,33,1,0,8,1,2,0,0.62,1.89,0,1,0,0,0,0,1,0,0,0,0,2,2,2,1,1,2,0,2,2,2,,
Josh Harder,joshua_harder,3,33,1,0,8,0,2,1,0.62,35.57,1,1,0,0,0,0,1,0,1,0,1,2,2,2,0,0,2,0,2,2,2,,
Michael Eggman,eggman4congress,3,33,1,0,8,1,2,0,0.62,21.34,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,2,2,2,,
Mike Barkley,mjbarkl,3,33,1,0,8,1,2,0,0.62,4.98,0,1,1,0,0,0,1,0,0,0,0,2,2,2,0,0,2,0,2,2,2,,
Sue Zwahlen,,3,33,1,0,8,1,2,0,0.62,17.049999,0,1,0,0,1,0,1,0,0,0,0,2,2,2,0,0,2,0,2,2,2,,
Virginia Madueno,VMforCA10,3,33,1,0,8,1,2,0,0.62,19.17,0,0,0,0,1,0,0,0,0,1,1,2,2,2,0,0,2,1,2,2,2,,
TJ Cox,TJCoxCongress,3,34,1,0,8,0,2,1,11.87,100.0,1,0,0,0,0,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,,
Andrew Janz,JanzAndrew,3,35,1,0,8,0,2,1,-13.41,78.83000200000001,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Bobby Bliatout,BobbyBliatout,3,35,1,0,8,1,2,0,-13.41,12.26,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Ricardo Franco,ricojfranco,3,35,1,0,8,1,2,0,-13.41,8.909999800000001,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Kurtis Wilson,Kurt4Congress,3,36,1,0,8,1,2,0,-25.379998999999998,4.8400002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Mary Helen Barro,BarroFor23,3,36,1,0,8,1,2,0,-25.379998999999998,18.200001,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Tatiana Matta,matta4congress,3,36,1,0,8,0,2,1,-25.379998999999998,42.720001,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Wendy Reed,WendyReedTweet,3,36,1,0,8,1,2,0,-25.379998999999998,34.25,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Bryan Caforio,BryanCaforio,3,37,1,0,8,1,2,0,2.02,38.259997999999996,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,1,2,2,2,2,2,,
Jess Phoenix,jessphoenix2018,3,37,1,0,8,1,2,0,2.02,13.24,0,1,0,0,0,0,1,0,0,0,1,2,2,2,1,0,2,2,2,2,2,,
Katie Hill,RepKatieHill,3,37,1,0,8,0,2,1,2.02,42.970001,1,1,0,1,0,0,0,0,1,1,1,2,2,2,0,0,2,2,2,2,2,,
Mary Pallant,,3,37,1,0,8,1,2,0,2.02,5.54,0,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,2,2,2,,
