candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Anthony White (Alabama),,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,,,,,
Christopher Countryman,CA_Countryman,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,141,139,334,2.6286644951140063
Doug "New Blue" Smith,sdoug_smith,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,2,1,2,2.0
James C. Fields,jamesfields_al,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,8,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,,7,12,64,3.3734939759036147
Sue Bell Cobb,SueBellCobb,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,,42,56,294,3.2857142857142856
Walt Maddox,WaltMaddox,,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,122,150,984,3.372611464968153
Lizzetta Hill McConnell,LizzettaMcConn1,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,12,12,92,3.3793103448275863
Robert Kennedy Jr.,Kennedy4Alabama,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,76,53,245,2.9037433155080214
Audri Scott Williams,audri4alabama,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,18,17,102,3.2262773722627736
Tabitha Isner,TabithaK,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,396,354,1083,2.7495908346972175
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,49,43,263,3.2056338028169016
Mallory Hagan,ItsMalloryHagan,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,418,367,1223,2.801792828685259
Lee Auman,LeeAuman2018,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,42,36,177,3.0588235294117645
Rick Neighbors,VoteRick2018 ,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,4,12,72,3.5454545454545454
Peter Joffrion,peter_joffrion,,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,130,120,714,3.211618257261411
Danner Kline,VoteDannerKline,,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459999,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,0,0,0,
Jared Henderson,JaredforGov,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,20,18,266,3.6184210526315788
Leticia Sanders,LeticiaeSanders,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,1,0,1,2.0
Chintan Desai,DecideonDesai,,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,164,115,633,3.0285087719298245
