candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Anthony White (Alabama),,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,,,,,,False,0
Christopher Countryman,CA_Countryman,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,141.0,139.0,334.0,2.6286644951140063,True,0
"Doug ""New Blue"" Smith",sdoug_smith,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,2.0,1.0,2.0,2.0,True,0
James C. Fields,jamesfields_al,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,8.0,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,,7.0,12.0,64.0,3.3734939759036147,True,0
Sue Bell Cobb,SueBellCobb,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879998999999998,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,,42.0,56.0,294.0,3.2857142857142856,True,0
Walt Maddox,WaltMaddox,,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879998999999998,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,122.0,150.0,984.0,3.3726114649681533,True,1
Lizzetta Hill McConnell,LizzettaMcConn1,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,12.0,12.0,92.0,3.3793103448275863,True,0
Robert Kennedy Jr.,Kennedy4Alabama,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,76.0,53.0,245.0,2.903743315508021,True,0
Audri Scott Williams,audri4alabama,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,18.0,17.0,102.0,3.2262773722627736,True,0
Tabitha Isner,TabithaK,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,396.0,354.0,1083.0,2.749590834697217,True,0
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,49.0,43.0,263.0,3.2056338028169016,True,1
Mallory Hagan,ItsMalloryHagan,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,418.0,367.0,1223.0,2.8017928286852594,True,1
Lee Auman,LeeAuman2018,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,42.0,36.0,177.0,3.0588235294117645,True,1
Rick Neighbors,VoteRick2018 ,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,4.0,12.0,72.0,3.5454545454545454,True,0
Jared Henderson,JaredforGov,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,20.0,18.0,266.0,3.6184210526315783,True,0
Leticia Sanders,LeticiaeSanders,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,True,0
Clarke Tucker,clarketucker,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,63.0,76.0,476.0,3.3430894308943087,True,2
Gwen Combs,GwenCombs,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,110.0,124.0,387.0,2.8921095008051534,True,1
Jonathan Dunkley,votedunkleyar,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.340000199999999,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,5.0,4.0,50.0,3.5254237288135597,True,0
Paul Spencer,cantbuypaul,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,121.0,91.0,176.0,2.283505154639175,True,0
Brianna Westbrook,BWestbrookAZ8,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559998999999998,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,354.0,251.0,671.0,2.496865203761756,True,2
Hiral Tipirneni,hiral4congress,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559998999999998,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,137.0,92.0,490.0,2.9819193324061195,True,0
Akinyemi Agbede,NextCalSenator,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,0.0,0.0,0.0,,True,0
Albert Caesar Mezzetti,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,,,,,False,0
Amanda Renteria,AmandaRenteria,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,243.0,296.0,973.0,2.9656084656084656,True,0
Antonio Villaraigosa,antonio4ca,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,,226.0,187.0,443.0,2.5070093457943927,True,0
Delaine Eastin,DelaineEastin,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,,64.0,54.0,316.0,3.161290322580645,True,2
Gavin Newsom,GavinNewsom,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,,245.0,147.0,333.0,2.2427586206896546,True,1
John Chiang,JohnChiangCA,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No,,,Yes,,,,No,,,,,,,227.0,290.0,597.0,2.66427289048474,True,1
Juan Bribiesca,jmbribiesca,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,5.0,8.0,13.0,2.6153846153846154,True,0
Klement Tinaj,TinajKlement,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,3.0,3.0,14.0,3.1,True,0
Michael Shellenberger,ShellenbergerMD,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,2550.0,1542.0,1486.0,1.6185012549300826,True,0
Robert Davidson Griffis,griff4gov,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,1.0,2.0,18.0,3.6190476190476186,True,0
Thomas Jefferson Cares,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,,,,,False,0
Audrey Denney,audrey4congress,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379998999999998,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,66.0,53.0,292.0,3.0997566909975673,True,2
David Peterson,HoldCongresAcct,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379998999999998,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,610.0,665.0,1258.0,2.5116462692459534,True,0
Jessica Holcombe,jjonesholcombe,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379998999999998,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,91.0,66.0,267.0,2.830188679245283,True,0
Marty Walters,MartyWaltersEnv,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379998999999998,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,182.0,140.0,382.0,2.5681818181818183,True,1
Dotty Nygard,DottyForTracy,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,73.0,60.0,182.0,2.6920634920634923,True,2
Josh Harder,joshua_harder,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,138.0,114.0,358.0,2.721311475409836,True,2
Michael Eggman,eggman4congress,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,3.0,1.0,3.0,2.0,True,0
Mike Barkley,mjbarkl,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,7.0,62.0,78.0,2.9659863945578238,True,0
Sue Zwahlen,,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,,,,,False,0
Virginia Madueno,VMforCA10,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,117.0,106.0,192.0,2.3614457831325297,True,3
Andrew Janz,JanzAndrew,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.83000200000001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,475.0,459.0,1420.0,2.802888700084962,True,0
