candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Anthony White (Alabama),,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christopher Countryman,CA_Countryman,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,True,0,17,17,0,6,0,9,13,1,0,8,0,0,0,10,1,15,614,141,139,334,2.6286644951140063
Doug "New Blue" Smith,sdoug_smith,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,2.0
James C. Fields,jamesfields_al,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,8.0,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,,True,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,83,7,12,64,3.3734939759036147
Sue Bell Cobb,SueBellCobb,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,,True,0,0,16,0,0,0,19,12,3,0,3,0,0,1,0,2,0,392,42,56,294,3.2857142857142856
Walt Maddox,WaltMaddox,,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,True,1,7,48,3,1,0,42,18,5,0,2,0,0,0,0,5,1,1256,122,150,984,3.372611464968153
Lizzetta Hill McConnell,LizzettaMcConn1,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,116,12,12,92,3.3793103448275863
Robert Kennedy Jr.,Kennedy4Alabama,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,2,9,0,4,0,5,6,4,0,2,2,2,2,1,3,6,374,76,53,245,2.9037433155080214
Audri Scott Williams,audri4alabama,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,3,1,1,4,0,0,7,0,0,1,0,0,0,0,0,4,137,18,17,102,3.2262773722627736
Tabitha Isner,TabithaK,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,71,94,14,18,2,35,39,18,0,7,5,5,5,0,8,26,1833,396,354,1083,2.7495908346972175
