candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment,gun_control_sentiment,health_care_sentiment,abortion_sentiment,immigration_sentiment,kavanaugh_sentiment,education_sentiment,jobs_sentiment,tax_sentiment,fake_news_sentiment,environment_sentiment,sexual_assault_sentiment,gender_sentiment,women_sentiment,lgbt_sentiment,freedom_sentiment,trump_sentiment
Anthony White (Alabama),,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Christopher Countryman,CA_Countryman,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,True,0,17,17,0,6,0,9,13,1,0,8,0,0,0,10,1,15,614,141,248,225,0.2296416938110749,0.29411764705882354,0.23529411764705882,,0.0,,0.1111111111111111,0.23076923076923078,0.0,,0.625,,,,0.0,1.0,0.26666666666666666
"Doug ""New Blue"" Smith",sdoug_smith,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0.4,,,,,,,,,,,,,,,,
James C. Fields,jamesfields_al,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,8.0,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,,True,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,83,7,26,50,0.08433734939759037,,0.0,,,,0.0,0.0,,,0.0,,,,,,
Sue Bell Cobb,SueBellCobb,,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,,True,0,0,16,0,0,0,19,12,3,0,3,0,0,1,0,2,0,392,42,102,248,0.10714285714285714,,0.1875,,,,0.10526315789473684,0.16666666666666666,0.3333333333333333,,0.0,,,0.0,,0.0,
Walt Maddox,WaltMaddox,,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,True,1,7,48,3,1,0,42,18,5,0,2,0,0,0,0,5,1,1256,122,350,784,0.09713375796178343,0.14285714285714285,0.25,0.0,0.0,,0.047619047619047616,0.05555555555555555,0.2,,0.0,,,,,0.0,0.0
Lizzetta Hill McConnell,LizzettaMcConn1,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,116,12,26,78,0.10344827586206896,0.0,0.6,,,,,,0.0,,,,,,,,
Robert Kennedy Jr.,Kennedy4Alabama,,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,2,9,0,4,0,5,6,4,0,2,2,2,2,1,3,6,374,76,85,213,0.20320855614973266,0.0,0.6666666666666666,,0.25,,0.2,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Audri Scott Williams,audri4alabama,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,3,1,1,4,0,0,7,0,0,1,0,0,0,0,0,4,137,18,34,85,0.13138686131386862,0.6666666666666666,0.0,0.0,0.5,,,0.5714285714285714,,,0.0,,,,,,0.75
Tabitha Isner,TabithaK,,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,71,94,14,18,2,35,39,18,0,7,5,5,5,0,8,26,1833,396,636,801,0.2160392798690671,0.323943661971831,0.44680851063829785,0.2857142857142857,0.3333333333333333,0.5,0.2857142857142857,0.2564102564102564,0.5555555555555556,,0.42857142857142855,0.4,0.4,0.4,,0.0,0.38461538461538464
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,True,1,8,8,0,0,0,11,3,0,0,1,0,0,1,0,3,1,355,49,93,213,0.13802816901408452,0.125,0.375,,,,0.09090909090909091,0.3333333333333333,,,1.0,,,0.0,,0.0,1.0
