candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Mike Dunleavy,GovDunleavy,,AK,Governor of Alaska,Governor,Regular,8/21/18,Advanced,None,On the Ballot,61.8,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Michael Sheldon,ElectSheldon18,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,2.2,No,,,,,,,,,,,,,,,3.0,3.0,48.0,3.6666666666666665,False,0
Mead Treadwell,Mead_Treadwell,MeadTreadwell,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,31.9,No,,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,False,0
Darin Colbry,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.6,No,,,,,,,,,,,,,,,,,,,True,0
Thomas Gordon,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.3,No,,,,,,,,,,,,,,,,,,,True,0
Merica Hlatcu,mhlatcu,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.5,No,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Gerald Heikes,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.7,No,,,,,,,,,,,,,,,,,,,True,0
Steve Smith,senstevesmith,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,37.8,No,Yes,,,,,,,Yes,,,Yes,,,,6.0,17.0,163.0,3.688172043010753,False,3
Wendy Rogers,WendyRogersAZ,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.4,Yes,Yes,,,,,,,No,,,No,,,,117.0,118.0,507.0,3.0512129380053907,False,1
Tiffany Shedd,Tiffany_Shedd,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,18.8,No,Yes,,,,,,,No,,,No,,,,35.0,47.0,310.0,3.403061224489796,False,1
Lea Marquez Peterson,LeaPeterson,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Advanced,None,On the Ballot,33.6,Yes,Yes,,,,,,,,Yes,,,,,,22.0,19.0,238.0,3.548387096774193,False,2
Casey Welch,CaseyBWelch,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,21.4,No,No,,,,,,,,No,,,,,,6.0,7.0,15.0,2.642857142857143,False,0
Danny Morales,dannydjmorales,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,15.9,No,No,,,,,,,,No,,,,,,453.0,389.0,815.0,2.436934218467109,False,0
Brandon Martin,PathForFreedom,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,29.1,No,No,,,,,,,,No,,,,,,19.0,25.0,83.0,3.0078740157480315,False,0
Edna San Miguel,EdnaSanMiguel2,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,21.4,No,,,,,,,,,,,,,,,6.0,6.0,13.0,2.56,False,0
Sergio Arellano,sergio5941,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,27.3,No,,,,,,,,,,,,,,,77.0,55.0,185.0,2.6813880126182967,False,0
Nicolas Pierson,PiersonCongress,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Advanced,None,On the Ballot,51.4,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Debbie Lesko,DebbieLesko,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,35.77,Yes,,,,,,,Yes,,Yes,Yes,,,,,53.0,59.0,429.0,3.3900184842883547,False,3
Debbie Lesko,RepDLesko,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,35.77,Yes,,,,,,,Yes,,Yes,Yes,,,,,42.0,55.0,270.0,3.242506811989101,False,3
Bob Stump,BobStumpAZ,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,5.37,No,,,,,,,No,,No,No,,,,,31.0,25.0,86.0,2.7746478873239435,False,0
