candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Mike Dunleavy,GovDunleavy,,AK,Governor of Alaska,Governor,Regular,8/21/18,Advanced,None,On the Ballot,61.8,Yes,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Michael Sheldon,ElectSheldon18,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,2.2,No,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54,0.05555555555555555,0.05555555555555555,0.8888888888888888,3.6666666666666665
Mead Treadwell,Mead_Treadwell,MeadTreadwell,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,31.9,No,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0.0,0.8,3.2
Darin Colbry,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.6,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,-1,-1,-1
Thomas Gordon,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.3,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,-1,-1,-1
Merica Hlatcu,mhlatcu,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.5,No,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gerald Heikes,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.7,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Steve Smith,senstevesmith,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,37.8,No,Yes,,,,,,,Yes,,,Yes,,,,False,3,3,0,0,4,0,5,4,2,1,0,0,0,0,0,3,3,186,0.03225806451612903,0.0913978494623656,0.8763440860215054,3.6881720430107525
Wendy Rogers,WendyRogersAZ,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.4,Yes,Yes,,,,,,,No,,,No,,,,False,1,22,1,25,48,5,1,33,25,3,3,0,0,0,0,1,94,742,0.15768194070080863,0.15902964959568733,0.683288409703504,3.0512129380053907
Tiffany Shedd,Tiffany_Shedd,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,18.8,No,Yes,,,,,,,No,,,No,,,,False,1,14,1,0,14,3,3,10,4,0,0,0,0,0,0,13,35,392,0.08928571428571429,0.11989795918367346,0.7908163265306123,3.4030612244897958
