candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements
Mike Dunleavy,GovDunleavy,,AK,Governor of Alaska,Governor,Regular,8/21/18,Advanced,None,On the Ballot,61.8,Yes,,,,,,,,,,,,,,,False,0
Michael Sheldon,ElectSheldon18,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,2.2,No,,,,,,,,,,,,,,,False,0
Mead Treadwell,Mead_Treadwell,MeadTreadwell,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,31.9,No,,,,,,,,,,,,,,,False,0
Darin Colbry,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.6,No,,,,,,,,,,,,,,,True,0
Thomas Gordon,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.3,No,,,,,,,,,,,,,,,True,0
Merica Hlatcu,mhlatcu,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.5,No,,,,,,,,,,,,,,,False,0
Gerald Heikes,,,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.7,No,,,,,,,,,,,,,,,True,0
Steve Smith,senstevesmith,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,37.8,No,Yes,,,,,,,Yes,,,Yes,,,,False,3
Wendy Rogers,WendyRogersAZ,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.4,Yes,Yes,,,,,,,No,,,No,,,,False,1
Tiffany Shedd,Tiffany_Shedd,,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,18.8,No,Yes,,,,,,,No,,,No,,,,False,1
Lea Marquez Peterson,LeaPeterson,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Advanced,None,On the Ballot,33.6,Yes,Yes,,,,,,,,Yes,,,,,,False,2
Casey Welch,CaseyBWelch,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,21.4,No,No,,,,,,,,No,,,,,,False,0
Danny Morales,dannydjmorales,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,15.9,No,No,,,,,,,,No,,,,,,False,0
Brandon Martin,PathForFreedom,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,29.1,No,No,,,,,,,,No,,,,,,False,0
