,candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support
14,Peter Joffrion,peter_joffrion,,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
15,Danner Kline,VoteDannerKline,,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459998999999996,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
18,Chintan Desai,DecideonDesai,,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
23,Joshua Mahony,joshuamahony,,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
24,Hayden Shamel,HaydenShamel,,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
49,TJ Cox,TJCoxCongress,,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100.0,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,
106,Stephany Rose Spaulding,StephanyForCO,,CO,U.S. House Colorado District 5,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-25.73,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,
116,Flynn Broady Jr.,flynndbroadyjr,,GA,U.S. House Georgia District 11,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-30.129998999999998,100.0,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
120,Steven Foster,,,GA,U.S. House Georgia District 14,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-54.18,100.0,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
224,William Tanoos,Tanoos2018,,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-32.509997999999996,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
234,Alan LaPolice,LapoliceAlan,,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
315,Rob Davidson,DrRobDavidson,,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-18.959999,100.0,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,
336,Katy Geppert,KatyforCongress,,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-38.259997999999996,100.0,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
