,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.250,0.276,-4.525,0.0,-1.792,-0.709
has_twitter,0.130,0.057,2.299,0.022,0.019,0.242
state,-0.001,0.005,-0.149,0.881,-0.010,0.009
district,0.000,0.001,0.394,0.694,-0.002,0.003
office_type,0.059,0.104,0.571,0.568,-0.144,0.262
race_type,-0.100,0.155,-0.643,0.52,-0.404,0.204
race,0.090,0.029,3.086,0.002,0.033,0.147
veteran,-0.018,0.046,-0.389,0.698,-0.108,0.072
race_primary_election_date,0.024,0.008,3.068,0.002,0.009,0.039
lgbtq,0.011,0.067,0.162,0.872,-0.120,0.142
elected_official,0.057,0.047,1.236,0.217,-0.034,0.149
self_funder,0.108,0.082,1.315,0.188,-0.053,0.269
stem,-0.168,0.044,-3.823,0.0,-0.254,-0.082
obama_alum,0.036,0.084,0.430,0.668,-0.129,0.201
dem_party_support,0.038,0.035,1.096,0.273,-0.030,0.107
emily_endorsed,0.064,0.027,2.333,0.02,0.010,0.117
gun_sense_candidate,0.065,0.025,2.634,0.008,0.017,0.113
biden_endorsed,0.110,0.052,2.093,0.036,0.007,0.212
warren_endorsed,-0.005,0.061,-0.079,0.937,-0.124,0.115
sanders_endorsed,-0.008,0.059,-0.134,0.893,-0.125,0.109
our_revolution_endorsed,0.041,0.022,1.847,0.065,-0.003,0.084
justice_dems_endorsed,0.032,0.027,1.187,0.235,-0.021,0.085
pccc_endorsed,0.064,0.043,1.496,0.135,-0.020,0.147
indivisible_endorsed,0.059,0.030,1.982,0.047,0.001,0.117
wfp_endorsed,0.052,0.032,1.588,0.112,-0.012,0.115
votevets_endorsed,0.082,0.032,2.527,0.012,0.018,0.145
no_labels_support,0.051,0.076,0.668,0.504,-0.099,0.201
num_endorsements,0.125,0.018,6.872,0.0,0.089,0.161
