,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.537,0.141,-3.817,0.0,-0.813,-0.261
state,-0.000,0.000,-0.080,0.936,-0.000,0.000
district,0.000,0.000,0.080,0.936,-0.000,0.000
office_type,-0.000,0.003,-0.080,0.936,-0.007,0.006
race_type,-0.000,0.000,-0.000,1.0,-0.000,0.000
race_primary_election_date,-0.000,0.000,-0.037,0.97,-0.000,0.000
rep_party_support,0.073,0.024,3.024,0.002,0.026,0.120
trump_endorsed,0.034,0.032,1.055,0.291,-0.029,0.096
bannon_endorsed,-0.005,0.036,-0.142,0.887,-0.077,0.066
great_america_endorsed,0.088,0.008,11.136,0.0,0.073,0.104
nra_endorsed,0.054,0.028,1.916,0.055,-0.001,0.109
right_to_life_endorsed,0.000,0.000,0.038,0.969,-0.000,0.000
susan_b_anthony_endorsed,0.000,0.000,0.048,0.962,-0.000,0.000
club_for_growth_endorsed,-0.008,0.024,-0.338,0.735,-0.054,0.038
koch_support,0.019,0.025,0.748,0.455,-0.030,0.068
house_freedom_support,0.056,0.031,1.841,0.066,-0.004,0.116
tea_party_endorsed,0.054,0.026,2.106,0.035,0.004,0.104
main_street_endorsed,0.048,0.026,1.820,0.069,-0.004,0.100
chamber_endorsed,-0.045,0.034,-1.300,0.194,-0.112,0.023
no_labels_support,0.025,0.049,0.515,0.606,-0.070,0.120
num_endorsements,0.177,0.016,11.278,0.0,0.146,0.207
