,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.249,0.250,-4.997,0.000,-1.739,-0.759
candidate,-0.000,0.000,-1.020,0.308,-0.000,0.000
has_twitter,0.123,0.083,1.489,0.137,-0.039,0.285
state,-0.000,0.002,-0.246,0.806,-0.004,0.003
district,-0.000,0.000,-0.890,0.373,-0.001,0.000
office_type,0.095,0.051,1.881,0.060,-0.004,0.195
race_type,-0.076,0.141,-0.539,0.590,-0.352,0.200
race,0.091,0.027,3.359,0.001,0.038,0.144
veteran,-0.001,0.043,-0.034,0.973,-0.087,0.084
race_primary_election_date,0.028,0.007,3.875,0.000,0.014,0.042
lgbtq,0.016,0.066,0.244,0.807,-0.112,0.145
elected_official,0.024,0.044,0.551,0.581,-0.062,0.111
self_funder,0.019,0.077,0.250,0.803,-0.132,0.170
stem,-0.148,0.041,-3.574,0.000,-0.229,-0.067
obama_alum,0.014,0.079,0.178,0.859,-0.141,0.169
dem_party_support,0.031,0.032,0.963,0.336,-0.032,0.094
emily_endorsed,0.053,0.026,2.024,0.043,0.002,0.103
gun_sense_candidate,0.060,0.023,2.562,0.010,0.014,0.105
biden_endorsed,0.133,0.049,2.728,0.006,0.037,0.228
warren_endorsed,-0.013,0.056,-0.226,0.821,-0.123,0.097
sanders_endorsed,-0.011,0.057,-0.186,0.852,-0.122,0.101
our_revolution_endorsed,0.037,0.021,1.780,0.075,-0.004,0.078
justice_dems_endorsed,0.024,0.026,0.950,0.342,-0.026,0.074
pccc_endorsed,0.031,0.040,0.780,0.435,-0.047,0.109
indivisible_endorsed,0.077,0.029,2.637,0.008,0.020,0.134
wfp_endorsed,0.090,0.032,2.837,0.005,0.028,0.152
votevets_endorsed,0.093,0.030,3.046,0.002,0.033,0.152
no_labels_support,0.032,0.072,0.448,0.654,-0.108,0.173
num_endorsements,0.065,0.019,3.445,0.001,0.028,0.102
num_tweets,0.000,0.000,1.081,0.280,-0.000,0.000
count_negative,0.001,0.000,2.533,0.011,0.000,0.001
count_neutral,-0.003,0.001,-5.381,0.000,-0.004,-0.002
count_positive,0.001,0.000,5.358,0.000,0.000,0.001
sentiment,0.000,0.016,0.029,0.977,-0.031,0.031
gun_control_tweet_count,-0.003,0.001,-3.036,0.002,-0.005,-0.001
health_care_tweet_count,0.002,0.001,2.312,0.021,0.000,0.003
abortion_tweet_count,0.005,0.005,1.084,0.278,-0.004,0.014
immigration_tweet_count,0.003,0.002,1.585,0.113,-0.001,0.006
education_tweet_count,-0.000,0.002,-0.079,0.937,-0.003,0.003
jobs_tweet_count,-0.000,0.001,-0.200,0.842,-0.003,0.002
environment_tweet_count,0.000,0.001,0.634,0.526,-0.001,0.001
women_tweet_count,-0.008,0.004,-1.771,0.077,-0.016,0.001
lgbt_tweet_count,-0.001,0.004,-0.259,0.795,-0.010,0.007
freedom_tweet_count,0.009,0.005,1.726,0.084,-0.001,0.018
trump_tweet_count,0.000,0.000,0.667,0.505,-0.001,0.001
Group Var,0.032,0.299,,,,
