,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.473,0.148,-3.203,0.001,-0.762,-0.184
candidate,-0.000,0.000,-0.410,0.682,-0.000,0.000
has_twitter,-0.179,0.038,-4.660,0.000,-0.254,-0.104
state,-0.001,0.001,-0.827,0.408,-0.002,0.001
district,-0.000,0.000,-0.290,0.772,-0.001,0.000
office_type,0.010,0.019,0.558,0.577,-0.026,0.047
race_type,0.007,0.009,0.819,0.413,-0.010,0.024
race_primary_election_date,-0.000,0.001,-0.425,0.671,-0.003,0.002
rep_party_support,0.070,0.024,2.887,0.004,0.022,0.117
trump_endorsed,0.033,0.032,1.031,0.302,-0.030,0.096
bannon_endorsed,-0.019,0.037,-0.521,0.602,-0.093,0.054
great_america_endorsed,0.092,0.019,4.706,0.000,0.053,0.130
nra_endorsed,0.062,0.028,2.183,0.029,0.006,0.118
right_to_life_endorsed,0.009,0.010,0.879,0.380,-0.011,0.028
susan_b_anthony_endorsed,0.009,0.012,0.715,0.475,-0.015,0.032
club_for_growth_endorsed,-0.020,0.024,-0.822,0.411,-0.067,0.027
koch_support,0.027,0.026,1.040,0.299,-0.024,0.077
house_freedom_support,0.055,0.030,1.824,0.068,-0.004,0.114
tea_party_endorsed,0.064,0.026,2.509,0.012,0.014,0.114
main_street_endorsed,0.039,0.027,1.429,0.153,-0.014,0.092
chamber_endorsed,-0.043,0.034,-1.255,0.210,-0.111,0.024
no_labels_support,0.024,0.048,0.493,0.622,-0.070,0.117
num_endorsements,0.162,0.017,9.367,0.000,0.128,0.195
num_tweets,0.000,0.000,0.548,0.584,-0.000,0.000
count_negative,0.000,0.000,0.720,0.472,-0.001,0.001
count_neutral,-0.000,0.001,-0.567,0.571,-0.001,0.001
count_positive,0.000,0.000,0.954,0.340,-0.000,0.000
sentiment,-0.001,0.005,-0.187,0.851,-0.010,0.008
gun_control_tweet_count,-0.000,0.002,-0.123,0.902,-0.004,0.003
health_care_tweet_count,0.001,0.001,1.491,0.136,-0.000,0.003
abortion_tweet_count,-0.006,0.003,-1.913,0.056,-0.012,0.000
immigration_tweet_count,0.002,0.001,1.084,0.278,-0.001,0.004
education_tweet_count,-0.002,0.002,-0.953,0.340,-0.006,0.002
jobs_tweet_count,0.003,0.001,1.846,0.065,-0.000,0.005
environment_tweet_count,-0.009,0.006,-1.526,0.127,-0.021,0.003
women_tweet_count,0.004,0.016,0.249,0.803,-0.027,0.035
lgbt_tweet_count,0.037,0.032,1.168,0.243,-0.025,0.100
freedom_tweet_count,-0.003,0.002,-1.680,0.093,-0.007,0.001
trump_tweet_count,-0.001,0.001,-1.874,0.061,-0.002,0.000
Group Var,0.135,10.976,,,,
